datetime,coordinates,model,model elevation,utc_offset,temperature,dewpoint_temperature,relative_humidity,surface_pressure,direct_normal_solar_radiation,surface_diffuse_solar_radiation,surface_solar_radiation,surface_thermal_radiation,wind_speed,wind_direction,total_cloud_cover,total_precipitation,snow_depth
2024-01-01 00:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,3.92,0.49,0.78,103064.83,202.29,29.32,50.92,269.3,2.63,316.67,0.58,0.0,0.0
2024-01-01 01:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.55,0.62,0.76,103062.19,335.44,84.94,180.0,276.27,2.51,329.91,0.55,0.0,0.0
2024-01-01 02:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,7.47,0.5,0.61,103060.07,527.89,121.78,347.11,262.08,2.02,7.74,0.66,0.0,0.0
2024-01-01 03:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,7.99,0.14,0.58,103006.12,389.22,198.73,404.01,283.52,1.66,21.13,0.6,0.0,0.0
2024-01-01 04:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,8.27,0.3,0.57,102886.73,233.74,249.25,384.41,317.23,1.5,25.12,0.6,0.0,0.0
2024-01-01 05:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,8.96,-0.12,0.53,102795.78,126.13,257.41,330.04,311.69,1.31,31.35,0.78,0.0,0.0
2024-01-01 06:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,9.05,-0.14,0.53,102721.23,142.28,222.68,296.72,318.63,1.32,43.81,0.76,0.0,0.0
2024-01-01 07:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,8.91,-0.18,0.53,102704.02,282.09,160.3,277.57,288.95,1.16,59.24,0.96,0.0,0.0
2024-01-01 08:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,7.76,-0.11,0.57,102674.01,164.74,93.02,137.31,308.63,1.08,63.89,0.94,0.0,0.0
2024-01-01 09:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,7.4,0.22,0.6,102697.56,82.49,31.92,39.33,300.55,1.33,55.85,0.58,0.0,0.0
2024-01-01 10:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,5.14,0.91,0.74,102683.82,0.0,0.0,0.0,270.13,1.63,54.11,0.47,0.0,0.0
2024-01-01 11:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,5.16,1.11,0.75,102669.33,0.0,0.0,0.0,278.01,1.87,65.46,0.26,0.0,0.0
2024-01-01 12:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.99,1.29,0.77,102664.11,0.0,0.0,0.0,268.41,1.81,66.57,0.15,0.0,0.0
2024-01-01 13:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.43,1.54,0.81,102683.43,0.0,0.0,0.0,253.43,1.8,64.12,0.03,0.0,0.0
2024-01-01 14:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,3.2,1.22,0.87,102720.54,0.0,0.0,0.0,251.81,2.0,69.26,0.02,0.0,0.0
2024-01-01 15:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,2.94,1.0,0.87,102663.63,0.0,0.0,0.0,242.53,2.1,72.27,0.01,0.0,0.0
2024-01-01 16:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,2.85,0.95,0.87,102632.18,0.0,0.0,0.0,241.16,2.59,69.71,0.0,0.0,0.0
2024-01-01 17:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.76,0.35,0.9,102611.49,0.0,0.0,0.0,239.51,2.1,72.21,0.0,0.0,0.0
2024-01-01 18:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.98,0.54,0.9,102576.67,0.0,0.0,0.0,238.8,2.15,57.5,0.0,0.0,0.0
2024-01-01 19:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.64,0.15,0.9,102513.43,0.0,0.0,0.0,240.26,2.56,63.39,0.0,0.0,0.0
2024-01-01 20:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.73,0.14,0.89,102466.96,0.0,0.0,0.0,239.88,2.49,54.95,0.04,0.0,0.0
2024-01-01 21:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.34,0.04,0.91,102459.33,0.0,0.0,0.0,239.8,2.51,42.91,0.07,0.0,0.0
2024-01-01 22:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.69,0.81,0.94,102452.63,0.0,0.0,0.0,240.52,2.16,29.4,0.14,0.0,0.0
2024-01-01 23:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,2.3,1.19,0.92,102517.7,0.0,0.19,0.14,241.13,1.94,40.8,0.46,0.0,0.0
2024-01-02 00:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,3.28,1.91,0.91,102454.39,319.52,32.51,66.44,242.78,2.61,61.36,0.89,0.0,0.0
2024-01-02 01:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.24,2.08,0.86,102436.97,541.24,78.05,231.27,247.32,2.53,69.02,0.15,0.0,0.0
2024-01-02 02:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,8.08,1.88,0.65,102473.41,695.27,98.02,394.86,252.14,2.29,83.24,0.26,0.0,0.0
2024-01-02 03:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,8.71,1.79,0.62,102398.89,762.91,111.72,514.48,256.9,2.35,109.08,0.44,0.0,0.0
2024-01-02 04:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,9.05,2.18,0.62,102261.25,743.34,134.82,565.37,265.13,2.65,127.78,0.65,0.0,0.0
2024-01-02 05:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,10.89,2.49,0.56,102128.44,582.24,186.75,522.84,278.27,1.79,133.24,0.51,0.0,0.0
2024-01-02 06:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,10.8,2.52,0.57,102107.08,382.77,212.95,412.82,286.92,0.7,104.61,1.0,0.0,0.0
2024-01-02 07:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,10.75,2.54,0.57,102042.6,375.89,158.59,315.63,291.72,1.68,71.6,1.0,0.0,0.0
2024-01-02 08:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,9.61,2.97,0.63,102067.06,140.16,116.23,154.23,301.58,2.81,58.76,1.0,0.0,0.0
2024-01-02 09:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,8.73,3.37,0.69,102146.92,32.68,34.46,37.47,294.33,3.38,44.6,1.0,0.0,0.0
2024-01-02 10:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,7.47,3.3,0.75,102229.12,0.0,0.0,0.0,304.52,3.28,39.45,1.0,0.0,0.0
2024-01-02 11:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,7.2,2.67,0.73,102307.86,0.0,0.0,0.0,319.9,3.36,31.76,1.0,0.0,0.0
2024-01-02 12:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,7.09,1.98,0.7,102316.47,0.0,0.0,0.0,325.85,3.55,30.47,1.0,0.0,0.0
2024-01-02 13:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,6.93,2.05,0.71,102306.14,0.0,0.0,0.0,324.05,3.43,27.88,1.0,0.13,0.0
2024-01-02 14:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,6.25,2.83,0.79,102311.94,0.0,0.0,0.0,318.8,3.05,23.66,1.0,0.5,0.0
2024-01-02 15:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,6.22,3.26,0.81,102350.6,0.0,0.0,0.0,319.77,2.76,1.58,1.0,0.79,0.0
2024-01-02 16:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,6.04,3.3,0.83,102351.61,0.0,0.0,0.0,321.47,2.68,352.48,1.0,0.72,0.0
2024-01-02 17:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,5.1,3.05,0.87,102336.58,0.0,0.0,0.0,320.87,2.99,343.74,1.0,0.47,0.0
2024-01-02 18:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.51,3.08,0.9,102376.18,0.0,0.0,0.0,319.46,3.53,332.67,1.0,0.27,0.0
2024-01-02 19:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.14,3.05,0.93,102393.52,0.0,0.0,0.0,319.91,3.93,323.31,1.0,0.27,0.0
2024-01-02 20:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,3.96,2.67,0.91,102431.37,0.0,0.0,0.0,322.28,3.85,314.84,1.0,0.12,0.0
2024-01-02 21:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.04,2.65,0.91,102416.42,0.0,0.0,0.0,323.75,3.83,307.44,1.0,0.02,0.0
2024-01-02 22:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.35,2.41,0.87,102435.47,0.0,0.0,0.0,317.33,4.22,304.34,0.99,0.0,0.0
2024-01-02 23:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.44,2.55,0.88,102487.67,0.0,0.1,0.06,309.58,4.41,305.4,1.0,0.0,0.0
2024-01-03 00:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.6,2.08,0.84,102560.86,13.54,20.91,22.34,320.06,5.13,307.75,0.97,0.0,0.0
2024-01-03 01:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.88,1.84,0.81,102600.7,93.75,85.74,112.26,313.68,5.48,309.4,1.0,0.0,0.0
2024-01-03 02:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,5.47,1.46,0.75,102685.96,49.4,139.21,160.31,321.28,5.46,309.67,1.0,0.0,0.0
2024-01-03 03:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,5.82,1.71,0.75,102702.97,36.84,175.77,195.24,318.94,5.18,308.78,1.0,0.0,0.0
2024-01-03 04:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,5.93,1.51,0.73,102635.86,59.23,230.34,264.71,317.55,5.0,307.36,1.0,0.0,0.0
2024-01-03 05:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,6.92,1.29,0.67,102570.45,96.93,232.71,288.81,314.19,4.95,307.48,1.0,0.0,0.0
2024-01-03 06:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,7.13,1.34,0.67,102551.2,120.08,248.06,310.99,313.0,4.91,309.04,0.97,0.0,0.0
2024-01-03 07:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,7.2,1.4,0.67,102580.78,248.05,181.18,285.34,301.98,4.74,309.81,0.91,0.0,0.0
2024-01-03 08:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,6.23,1.33,0.71,102621.63,158.41,113.07,156.39,282.82,4.42,311.59,0.8,0.0,0.0
2024-01-03 09:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,6.14,1.32,0.71,102693.23,116.29,33.31,44.32,272.58,3.34,314.59,0.67,0.0,0.0
2024-01-03 10:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.84,1.17,0.77,102720.12,0.0,0.0,0.0,296.85,2.38,324.51,0.63,0.0,0.0
2024-01-03 11:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.64,1.03,0.77,102738.68,0.0,0.0,0.0,285.08,2.24,332.41,0.58,0.0,0.0
2024-01-03 12:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,4.25,1.16,0.8,102766.41,0.0,0.0,0.0,272.49,2.04,337.4,0.54,0.0,0.0
2024-01-03 13:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,3.82,1.1,0.82,102764.25,0.0,0.0,0.0,266.08,1.87,343.07,0.47,0.0,0.0
2024-01-03 14:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,2.73,1.06,0.89,102741.48,0.0,0.0,0.0,254.09,1.83,348.44,0.43,0.02,0.0
2024-01-03 15:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,2.34,0.83,0.9,102724.73,0.0,0.0,0.0,250.29,1.5,345.02,0.32,0.0,0.0
2024-01-03 16:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,2.41,0.73,0.89,102682.63,0.0,0.0,0.0,245.75,1.55,329.75,0.43,0.0,0.0
2024-01-03 17:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.35,0.12,0.91,102651.4,0.0,0.0,0.0,251.16,0.97,305.55,0.33,0.0,0.0
2024-01-03 18:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.32,0.1,0.92,102587.87,0.0,0.0,0.0,240.8,0.86,268.95,0.37,0.0,0.0
2024-01-03 19:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.28,0.13,0.92,102545.75,0.0,0.0,0.0,253.58,1.06,240.64,0.34,0.0,0.0
2024-01-03 20:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,0.66,-0.18,0.94,102543.78,0.0,0.0,0.0,250.7,1.25,217.04,0.33,0.0,0.0
2024-01-03 21:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,0.55,-0.12,0.95,102536.37,0.0,0.0,0.0,266.98,1.32,192.82,0.38,0.0,0.0
2024-01-03 22:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,0.56,-0.25,0.94,102552.72,0.0,0.0,0.0,242.09,1.28,192.2,0.53,0.0,0.0
2024-01-03 23:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,0.6,-0.31,0.94,102607.83,0.0,0.1,0.06,247.69,0.9,161.79,0.59,0.0,0.0
2024-01-04 00:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.19,-0.54,0.88,102630.48,282.34,32.83,62.53,246.36,1.56,173.69,0.56,0.0,0.0
2024-01-04 01:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,1.73,-0.77,0.83,102672.02,515.69,80.36,226.17,240.64,2.07,188.91,0.18,0.0,0.0
2024-01-04 02:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,5.48,1.77,0.77,102643.37,683.03,108.45,400.39,248.0,2.26,187.88,0.02,0.0,0.0
2024-01-04 03:00:00,"(31.232276, 121.469207)",era5,3.77,8.0,6.45,1.68,0.72,102573.54,804.05,111.77,537.34,234.39,2.62,186.16,0.01,0.0,0.0
