Time,CLASSROOM_SOUTH:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],CLASSROOM_SOUTH:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],CLASSROOM_SOUTH:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],CLASSROOM_SOUTH:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],CLASSROOM_SOUTH::Des Latent Heat Load [W],CLASSROOM_SOUTH::Des Latent Cool Load [W],CLASSROOM_SOUTH::Des Latent Heat Mass Flow [kg/s],CLASSROOM_SOUTH::Des Latent Cool Mass Flow [kg/s],CLASSROOM_SOUTH::Des Heat Load No DOAS [W],CLASSROOM_SOUTH::Des Sens Cool Load No DOAS [W],CLASSROOM_SOUTH::Des Latent Heat Load No DOAS [W],CLASSROOM_SOUTH::Des Latent Cool Load No DOAS [W],CLASSROOM_SOUTH:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],CLASSROOM_SOUTH:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],CLASSROOM_SOUTH:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],CLASSROOM_SOUTH:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%],CLASSROOM_EAST:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],CLASSROOM_EAST:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],CLASSROOM_EAST:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],CLASSROOM_EAST:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],CLASSROOM_EAST::Des Latent Heat Load [W],CLASSROOM_EAST::Des Latent Cool Load [W],CLASSROOM_EAST::Des Latent Heat Mass Flow [kg/s],CLASSROOM_EAST::Des Latent Cool Mass Flow [kg/s],CLASSROOM_EAST::Des Heat Load No DOAS [W],CLASSROOM_EAST::Des Sens Cool Load No DOAS [W],CLASSROOM_EAST::Des Latent Heat Load No DOAS [W],CLASSROOM_EAST::Des Latent Cool Load No DOAS [W],CLASSROOM_EAST:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],CLASSROOM_EAST:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],CLASSROOM_EAST:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],CLASSROOM_EAST:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%],CLASSROOM_NORTH:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],CLASSROOM_NORTH:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],CLASSROOM_NORTH:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],CLASSROOM_NORTH:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],CLASSROOM_NORTH::Des Latent Heat Load [W],CLASSROOM_NORTH::Des Latent Cool Load [W],CLASSROOM_NORTH::Des Latent Heat Mass Flow [kg/s],CLASSROOM_NORTH::Des Latent Cool Mass Flow [kg/s],CLASSROOM_NORTH::Des Heat Load No DOAS [W],CLASSROOM_NORTH::Des Sens Cool Load No DOAS [W],CLASSROOM_NORTH::Des Latent Heat Load No DOAS [W],CLASSROOM_NORTH::Des Latent Cool Load No DOAS [W],CLASSROOM_NORTH:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],CLASSROOM_NORTH:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],CLASSROOM_NORTH:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],CLASSROOM_NORTH:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%],CLASSROOM_WEST:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],CLASSROOM_WEST:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],CLASSROOM_WEST:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],CLASSROOM_WEST:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],CLASSROOM_WEST::Des Latent Heat Load [W],CLASSROOM_WEST::Des Latent Cool Load [W],CLASSROOM_WEST::Des Latent Heat Mass Flow [kg/s],CLASSROOM_WEST::Des Latent Cool Mass Flow [kg/s],CLASSROOM_WEST::Des Heat Load No DOAS [W],CLASSROOM_WEST::Des Sens Cool Load No DOAS [W],CLASSROOM_WEST::Des Latent Heat Load No DOAS [W],CLASSROOM_WEST::Des Latent Cool Load No DOAS [W],CLASSROOM_WEST:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],CLASSROOM_WEST:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],CLASSROOM_WEST:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],CLASSROOM_WEST:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%],CORRIDOR:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Load [W],CORRIDOR:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Sens Cool Load [W],CORRIDOR:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Des Heat Mass Flow [kg/s],CORRIDOR:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Des Cool Mass Flow [kg/s],CORRIDOR::Des Latent Heat Load [W],CORRIDOR::Des Latent Cool Load [W],CORRIDOR::Des Latent Heat Mass Flow [kg/s],CORRIDOR::Des Latent Cool Mass Flow [kg/s],CORRIDOR::Des Heat Load No DOAS [W],CORRIDOR::Des Sens Cool Load No DOAS [W],CORRIDOR::Des Latent Heat Load No DOAS [W],CORRIDOR::Des Latent Cool Load No DOAS [W],CORRIDOR:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Temperature [C],CORRIDOR:CHICAGO_IL_USA ANNUAL HEATING 99% DESIGN CONDITIONS DB:Heating Zone Relative Humidity [%],CORRIDOR:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Temperature [C],CORRIDOR:CHICAGO_IL_USA ANNUAL COOLING 1% DESIGN CONDITIONS DB/MCWB:Cooling Zone Relative Humidity [%]
00:15:00,3.909832E+03,0.000000E+00,1.389307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219897E+01,2.233790E+01,2.231116E+01,5.851100E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.233137E+01,5.953061E+01,3.800444E+03,0.000000E+00,1.350438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219896E+01,2.230297E+01,2.228374E+01,5.724042E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.242819E+01,5.355043E+01,3.097880E+03,0.000000E+00,1.100787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219886E+01,2.074159E+01,2.218372E+01,5.980513E+01
00:30:00,3.909832E+03,0.000000E+00,1.389307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219897E+01,2.233790E+01,2.223224E+01,5.879276E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.225139E+01,5.982108E+01,3.800444E+03,0.000000E+00,1.350438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219896E+01,2.230297E+01,2.220242E+01,5.752453E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.233603E+01,5.385142E+01,3.097880E+03,0.000000E+00,1.100787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219886E+01,2.074159E+01,2.212156E+01,6.003203E+01
00:45:00,3.909832E+03,0.000000E+00,1.389307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219897E+01,2.233790E+01,2.215679E+01,5.906353E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.217490E+01,6.010037E+01,3.800444E+03,0.000000E+00,1.350438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219896E+01,2.230297E+01,2.212490E+01,5.779684E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.224879E+01,5.413809E+01,3.097880E+03,0.000000E+00,1.100787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219886E+01,2.074159E+01,2.206232E+01,6.024921E+01
01:00:00,3.909832E+03,0.000000E+00,1.389307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219897E+01,2.233790E+01,2.208433E+01,5.932495E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.210148E+01,6.036983E+01,3.800444E+03,0.000000E+00,1.350438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219896E+01,2.230297E+01,2.205066E+01,5.805899E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.216592E+01,5.441201E+01,3.097880E+03,0.000000E+00,1.100787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219886E+01,2.074159E+01,2.200579E+01,6.045724E+01
01:15:00,3.909832E+03,0.000000E+00,1.389307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219897E+01,2.233790E+01,2.201447E+01,5.957816E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.203083E+01,6.063043E+01,3.800444E+03,0.000000E+00,1.350438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219896E+01,2.230297E+01,2.197931E+01,5.831219E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.208697E+01,5.467440E+01,3.097880E+03,0.000000E+00,1.100787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219886E+01,2.074159E+01,2.195181E+01,6.065669E+01
01:30:00,3.909832E+03,0.000000E+00,1.389307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219897E+01,2.233790E+01,2.194874E+01,5.981756E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.196403E+01,6.087798E+01,3.800444E+03,0.000000E+00,1.350438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219896E+01,2.230297E+01,2.191222E+01,5.855141E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.201292E+01,5.492183E+01,3.097880E+03,0.000000E+00,1.100787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219886E+01,2.074159E+01,2.190020E+01,6.084803E+01
01:45:00,3.909832E+03,0.000000E+00,1.389307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219897E+01,2.233790E+01,2.188658E+01,6.004494E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.190066E+01,6.111390E+01,3.800444E+03,0.000000E+00,1.350438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219896E+01,2.230297E+01,2.184885E+01,5.877839E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.194321E+01,5.515592E+01,3.097880E+03,0.000000E+00,1.100787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219886E+01,2.074159E+01,2.185085E+01,6.103166E+01
02:00:00,3.909832E+03,0.000000E+00,1.389307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219897E+01,2.233790E+01,2.182732E+01,6.026260E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.184006E+01,6.134042E+01,3.800444E+03,0.000000E+00,1.350438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219896E+01,2.230297E+01,2.178852E+01,5.899537E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.187708E+01,5.537901E+01,3.097880E+03,0.000000E+00,1.100787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219886E+01,2.074159E+01,2.180364E+01,6.120790E+01
02:15:00,3.909832E+03,0.000000E+00,1.389307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219897E+01,2.233790E+01,2.177048E+01,6.047225E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.178194E+01,6.155861E+01,3.800444E+03,0.000000E+00,1.350438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219896E+01,2.230297E+01,2.173076E+01,5.920398E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.181412E+01,5.559232E+01,3.097880E+03,0.000000E+00,1.100787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219886E+01,2.074159E+01,2.175848E+01,6.137703E+01
02:30:00,3.909832E+03,0.000000E+00,1.389307E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219897E+01,2.233790E+01,2.171650E+01,6.067207E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.172665E+01,6.176695E+01,3.800444E+03,0.000000E+00,1.350438E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219896E+01,2.230297E+01,2.167597E+01,5.940264E+01,1.644540E+03,0.000000E+00,5.843666E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219902E+01,2.228914E+01,2.175463E+01,5.579477E+01,3.097880E+03,0.000000E+00,1.100787E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.219886E+01,2.074159E+01,2.171527E+01,6.153935E+01
